what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317803897841
opened,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317803927085
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317803927162
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317803927314
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317803928441
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317803942501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317803942591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317803943496
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317803945791
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317803976890
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1317803980842
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317803987374
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317803987447
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1317803987458
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317803993116
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1317803996578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1317803996737
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317803998272
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1317804000748
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1317804000830
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317804001745
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317804022130
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804022962
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804052521
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804058606
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804058606
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804062194
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317804063519
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804064358
closed,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804064358
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1317804073856
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804089084
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804106999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804107028
opened,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804165585
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804165668
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804165799
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804166952
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804173786
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804173857
